AD2,AD1,AD0,A6,A5,A4,A3,A2,A1,A0,"Address, Write","Address, Read",I2C Address
GND,SCL,GND,0,0,1,0,0,0,0,20,21,10
GND,SCL,VDD,0,0,1,0,0,0,1,22,23,11
GND,SDA,GND,0,0,1,0,0,1,0,24,25,12
GND,SDA,VDD,0,0,1,0,0,1,1,26,27,13
VDD,SCL,GND,0,0,1,0,1,0,0,28,29,14
VDD,SCL,VDD,0,0,1,0,1,0,1,2A,2B,15
VDD,SDA,GND,0,0,1,0,1,1,0,2C,2D,16
VDD,SDA,VDD,0,0,1,0,1,1,1,2E,2F,17
GND,SCL,SCL,0,0,1,1,0,0,0,30,31,18
GND,SCL,SDA,0,0,1,1,0,0,1,32,33,19
GND,SDA,SCL,0,0,1,1,0,1,0,34,35,1A
GND,SDA,SDA,0,0,1,1,0,1,1,36,37,1B
VDD,SCL,SCL,0,0,1,1,1,0,0,38,39,1C
VDD,SCL,SDA,0,0,1,1,1,0,1,3A,3B,1D
VDD,SDA,SCL,0,0,1,1,1,1,0,3C,3D,1E
VDD,SDA,SDA,0,0,1,1,1,1,1,3E,3F,1F
GND,GND,GND,0,1,0,0,0,0,0,40,41,20
GND,GND,VDD,0,1,0,0,0,0,1,42,43,21
GND,VDD,GND,0,1,0,0,0,1,0,44,45,22
GND,VDD,VDD,0,1,0,0,0,1,1,46,47,23
VDD,GND,GND,0,1,0,0,1,0,0,48,49,24
VDD,GND,VDD,0,1,0,0,1,0,1,4A,4B,25
VDD,VDD,GND,0,1,0,0,1,1,0,4C,4D,26
VDD,VDD,VDD,0,1,0,0,1,1,1,4E,4F,27
GND,GND,SCL,0,1,0,1,0,0,0,50,51,28
GND,GND,SDA,0,1,0,1,0,0,1,52,53,29
GND,VDD,SCL,0,1,0,1,0,1,0,54,55,2A
GND,VDD,SDA,0,1,0,1,0,1,1,56,57,2B
VDD,GND,SCL,0,1,0,1,1,0,0,58,59,2C
VDD,GND,SDA,0,1,0,1,1,0,1,5A,5B,2D
VDD,VDD,SCL,0,1,0,1,1,1,0,5C,5D,2E
VDD,VDD,SDA,0,1,0,1,1,1,1,5E,5F,2F
SCL,SCL,GND,1,0,1,0,0,0,0,A0,A1,50
SCL,SCL,VDD,1,0,1,0,0,0,1,A2,A3,51
SCL,SDA,GND,1,0,1,0,0,1,0,A4,A5,52
SCL,SDA,VDD,1,0,1,0,0,1,1,A6,A7,53
SDA,SCL,GND,1,0,1,0,1,0,0,A8,A9,54
SDA,SCL,VDD,1,0,1,0,1,0,1,AA,AB,55
SDA,SDA,GND,1,0,1,0,1,1,0,AC,AD,56
SDA,SDA,VDD,1,0,1,0,1,1,1,AE,AF,57
SCL,SCL,SCL,1,0,1,1,0,0,0,B0,B1,58
SCL,SCL,SDA,1,0,1,1,0,0,1,B2,B3,59
SCL,SDA,SCL,1,0,1,1,0,1,0,B4,B5,5A
SCL,SDA,SDA,1,0,1,1,0,1,1,B6,B7,5B
SDA,SCL,SCL,1,0,1,1,1,0,0,B8,B9,5C
SDA,SCL,SDA,1,0,1,1,1,0,1,BA,BB,5D
SDA,SDA,SCL,1,0,1,1,1,1,0,BC,BD,5E
SDA,SDA,SDA,1,0,1,1,1,1,1,BE,BF,5F
SCL,GND,GND,1,1,0,0,0,0,0,C0,C1,60
SCL,GND,VDD,1,1,0,0,0,0,1,C2,C3,61
SCL,VDD,GND,1,1,0,0,0,1,0,C4,C5,62
SCL,VDD,VDD,1,1,0,0,0,1,1,C6,C7,63
SDA,GND,GND,1,1,0,0,1,0,0,C8,C9,64
SDA,GND,VDD,1,1,0,0,1,0,1,CA,CB,65
SDA,VDD,GND,1,1,0,0,1,1,0,CC,CD,66
SDA,VDD,VDD,1,1,0,0,1,1,1,CE,CF,67
SCL,GND,SCL,1,1,1,0,0,0,0,E0,E1,70
SCL,GND,SDA,1,1,1,0,0,0,1,E2,E3,71
SCL,VDD,SCL,1,1,1,0,0,1,0,E4,E5,72
SCL,VDD,SDA,1,1,1,0,0,1,1,E6,E7,73
SDA,GND,SCL,1,1,1,0,1,0,0,E8,E9,74
SDA,GND,SDA,1,1,1,0,1,0,1,EA,EB,75
SDA,VDD,SCL,1,1,1,0,1,1,0,EC,Ed,76
SDA,VDD,SDA,1,1,1,0,1,1,1,EE,EF,77
